gridID,Longitude Center,Latitude Center,MonthOfYear,label,% Poverty
3465,-74.20227,40.5346,3,6,60.08
3470,-74.20227,40.539097,3,3,60.08
3472,-74.20227,40.540894,3,1,60.08
3473,-74.20227,40.541794,3,1,60.08
3478,-74.20227,40.54629,3,2,60.08
3485,-74.20227,40.552586,3,1,60.08
3487,-74.20227,40.554382,3,1,60.08
3607,-74.20109,40.524708,3,1,60.08
3608,-74.20109,40.525604,3,2,60.08
3609,-74.20109,40.526505,3,7,60.08
3610,-74.20109,40.527405,3,1,60.08
3613,-74.20109,40.5301,3,1,60.08
3615,-74.20109,40.531902,3,1,60.08
3621,-74.20109,40.537296,3,4,60.08
3622,-74.20109,40.538197,3,1,60.08
3623,-74.20109,40.539097,3,1,60.08
3624,-74.20109,40.539993,3,1,60.08
3626,-74.20109,40.541794,3,1,60.08
3637,-74.20109,40.551685,3,1,60.08
3640,-74.20109,40.554382,3,1,60.08
3675,-74.20109,40.58586,3,2,60.08
3761,-74.199905,40.522007,3,1,60.08
3768,-74.199905,40.528305,3,1,60.08
3776,-74.199905,40.5355,3,1,60.08
3777,-74.199905,40.536396,3,1,60.08
3778,-74.199905,40.537296,3,1,60.08
3782,-74.199905,40.540894,3,1,60.08
3789,-74.199905,40.547188,3,4,60.08
3793,-74.199905,40.550785,3,2,60.08
3796,-74.199905,40.553486,3,1,60.08
3799,-74.199905,40.556183,3,1,60.08
3800,-74.199905,40.557083,3,5,60.08
3804,-74.199905,40.56068,3,3,60.08
3919,-74.19873,40.517513,3,1,60.08
3925,-74.19873,40.522907,3,1,60.08
3928,-74.19873,40.525604,3,1,60.08
3931,-74.19873,40.528305,3,2,60.08
3942,-74.19873,40.538197,3,4,60.08
3943,-74.19873,40.539097,3,1,60.08
3951,-74.19873,40.54629,3,3,60.08
3952,-74.19873,40.547188,3,4,60.08
3955,-74.19873,40.54989,3,1,60.08
3956,-74.19873,40.550785,3,1,60.08
3960,-74.19873,40.554382,3,7,60.08
3963,-74.19873,40.557083,3,2,60.08
3964,-74.19873,40.55798,3,2,60.08
3966,-74.19873,40.55978,3,2,60.08
4082,-74.19755,40.515713,3,2,60.08
4086,-74.19755,40.51931,3,8,60.08
4097,-74.19755,40.5292,3,1,60.08
4103,-74.19755,40.5346,3,3,60.08
4108,-74.19755,40.539097,3,1,60.08
